startyear;endyear;normalization;learningRate;lambdaValue;PCE;R2;ResBlockWidth;numBlocks;dense;af
2009;2019;None;base;0.003;27941.076171875;0.04635703072992003;5;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.003;5417.51318359375;0.07312690830281614;7;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.003;5920.01123046875;0.0866901835977563;3;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.003;4731.91748046875;0.08177993350392614;5;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.003;23344.28125;0.054430624681163366;7;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.003;10399.787109375;0.05923985595589101;3;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.003;792.9153442382812;0.08924450288462238;5;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.003;21538.958984375;0.04000060488502162;7;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.003;2743.193359375;0.0847190153110214;3;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.003;1849.8980712890625;0.05246179158343512;5;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.003;31463.091796875;0.07176709282904485;7;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.003;49301.59375;0.028735907220431674;3;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.003;6999.36181640625;0.061402803245120464;5;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.003;12366.376953125;0.036112986518024394;7;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.003;32155.9453125;0.06702824091331237;3;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.003;33939.85546875;0.07840726607159981;5;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.003;572.5030517578125;0.06705808475975517;7;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.003;3575.24462890625;0.06709709170472644;3;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.003;10409.2529296875;0.05835787408077615;5;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.003;19936.33984375;0.022930654226009994;7;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0;1.6888178586959839;0.06137996062027073;3;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0;2.008260726928711;0.07945449020692927;5;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0;2.1111881732940674;0.007066476512004676;7;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0;2.260042667388916;0.03815406933955421;3;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0;1.9789073467254639;0.06954814900612154;5;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0;2.0805554389953613;0.07896462690032151;7;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0;1.807325005531311;0.0615376102070572;3;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0;1.6402782201766968;0.07413217352583314;5;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0;1.6655710935592651;0.08942238273835236;7;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0;1.7393156290054321;0.06553760465400711;3;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0;1.545877456665039;0.07996643439505771;5;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0;1.748498558998108;0.05666835910793608;7;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0;2.04734206199646;0.06588027489175517;3;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0;1.998792290687561;0.06847340330298864;5;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0;1.835278034210205;0.08123313736127676;7;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0;1.8324054479599;0.07656523962029073;3;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0;1.984862208366394;0.0525504261776894;5;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0;1.809497356414795;0.04272716550212463;7;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0;1.5716407299041748;0.10036834763940639;3;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0;1.8566573858261108;0.07171421117279948;5;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0;1.4300929307937622;0.06559193100262724;7;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0;1.600487232208252;0.067501544071688;3;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0;1.5431309938430786;0.05929053648302899;5;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0;1.4468786716461182;0.07582930259306919;7;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.3;2.450313091278076;0.12285846241718605;3;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.3;2.1090540885925293;0.08909642638644925;5;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.3;2.72341251373291;0.11373604529254501;7;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.3;2.293062686920166;0.1124208224837248;3;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.3;2.375899076461792;0.11976016681809416;5;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.3;2.4394266605377197;0.11200253559995145;7;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.3;1.8768916130065918;0.0981780522788371;3;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.3;1.7378932237625122;0.11593369895028048;5;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.3;1.368240475654602;0.11142057695312983;7;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.3;1.7337040901184082;0.11124393181286325;3;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.3;1.708899974822998;0.10025396534313359;5;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.3;1.6759225130081177;0.0904874362167124;7;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.3;1.8620409965515137;0.09802888358426846;3;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.3;2.7028276920318604;0.06571875815379927;5;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.3;2.159883499145508;0.10801057925942466;7;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.3;1.8146189451217651;0.09746106845285896;3;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.3;1.8614083528518677;0.07958259611940759;5;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.3;1.9734553098678589;0.10919568450746214;7;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.3;1.738847017288208;0.10775322357060801;3;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.3;1.5097289085388184;0.10937476569442894;5;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.3;2.09767484664917;0.12201193334815258;7;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.3;1.6690709590911865;0.12255736030373586;3;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.3;2.0772812366485596;0.11308053034618377;5;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.3;1.816908597946167;0.10209131113752819;7;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;low;0.0001;0.07142703235149384;0.13353805701578184;3;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.0001;0.07159397006034851;0.1321685348878362;5;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.0001;0.072029709815979;0.12752496645250622;7;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.0001;0.07138992100954056;0.13973020983371684;5;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.0001;0.07111137360334396;0.1378088927677336;7;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.0001;0.0725373700261116;0.12118936980832799;3;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.0001;0.07267212122678757;0.12201771244961375;5;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.0001;0.07274894416332245;0.11360970875309244;7;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.0001;0.07173548638820648;0.12325188089468514;3;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.0001;0.07199469953775406;0.12143388828511513;5;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.0001;0.07355192303657532;0.12450664625247425;7;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.0001;0.07147425413131714;0.13598473796703517;3;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;low;0.0001;0.07165651768445969;0.1308102112532078;5;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;low;0.0001;0.07110774517059326;0.13297935291650925;7;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;low;0.0001;0.07125590741634369;0.13948287308332102;3;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;low;0.0001;0.07132263481616974;0.1351497665157515;5;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;low;0.0001;0.07110228389501572;0.13596750610491862;7;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;low;0.0001;0.07424507290124893;0.10983460534661339;3;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;low;0.0001;0.0725661888718605;0.1194652615298532;5;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;low;0.0001;0.07420957088470459;0.10043958284695127;7;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;low;0.0001;0.07241881638765335;0.11478389129131543;3;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;low;0.0001;0.0732392743229866;0.1081232555317125;5;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;low;0.0001;0.0720394104719162;0.12357020336313936;7;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;low;0.003;0.06741201877593994;0.169201625350754;3;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.003;0.06695152819156647;0.16968902368802882;5;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.003;0.06712789088487625;0.17212381174250055;7;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.003;0.06707503646612167;0.17364470548783395;3;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.003;0.06689244508743286;0.1750749476638087;5;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.003;0.06728766113519669;0.1721279616808974;7;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.003;0.06783156096935272;0.15311114210488277;3;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.003;0.067911297082901;0.1614868769037524;5;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.003;0.06976137310266495;0.14030096998841382;7;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.003;0.06739005446434021;0.1594683644319786;3;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.003;0.06826558709144592;0.15183982268937465;5;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.003;0.07041396200656891;0.14897013975067824;7;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;low;0.003;0.06678248196840286;0.17458961619145338;3;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;low;0.003;0.06685615330934525;0.1719840334054837;5;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;low;0.003;0.06703010201454163;0.17248786843741884;7;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;low;0.003;0.06686917692422867;0.17228358303952115;5;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;low;0.003;0.06695395708084106;0.17441589162528773;7;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;low;0.003;0.07014158368110657;0.1378881631522941;3;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;low;0.003;0.06763134896755219;0.15893893277370977;5;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;low;0.003;0.06774714589118958;0.15221924213770074;7;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;low;0.003;0.06755026429891586;0.164834679222525;3;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
